Districts,Working Males,Working Females,Cultivators Males,Cultivators Females,Agricultural Laboureres Males,Agricultural Laboureres Females,Household Males,Household Females,Other Workers Males,Other Workers Females,Non-Working Males,Non-Working Females
ADILABAD,195024,154097,73095,53268,50789,68875,4423,5890,66717,26064,161383,198468
BHADRADRI,304501,212610,58712,30723,119768,142985,5191,3255,120830,35647,227889,324261
HYDERABAD,1045585,367712,15416,12892,14751,8278,26869,19288,988549,327254,972990,1557036
JAGTIAL ,276147,260289,66831,44514,89331,88199,12885,77012,107100,50564,207932,241049
JANGAON ,156138,131355,56207,29181,46338,83446,4142,3622,49451,15106,127510,151373
JAYASHANKAR ,202148,181701,56219,31127,98895,137513,3208,1827,43826,11234,152055,175530
JOGULAMBA ,175086,153000,53317,31731,79006,104453,4642,3799,38121,13017,134188,147716
KAMAREDDY ,263444,230737,81354,51913,100297,112927,8538,35820,73255,30077,214945,263499
KARIMNAGAR ,276880,187040,49816,28700,79059,107304,9642,9052,138363,41984,227740,314051
KHAMMAM ,401088,303641,66729,29040,185224,229026,5620,3578,143515,41997,298036,398874
KOMARAM BHEEM ,142935,110066,61173,26872,36909,62758,2819,4671,42034,15765,115262,147549
MAHABUBABAD,215413,192071,75881,46716,81078,123380,4349,3078,54105,18897,172645,194420
MAHABUBNAGAR,408932,331125,119847,62116,116223,195490,11554,13713,161308,59806,336169,410551
MANCHERIAL ,217110,127675,33334,12497,67031,81346,4797,3626,111948,30206,191162,271090
MEDAK ,208983,176827,80435,49095,67006,95821,4645,11166,56897,20745,169671,211947
MEDCHAL,698628,259225,16685,9901,23721,20756,24460,14230,633762,214338,548038,934182
NAGARKURNOOL ,245506,211256,92314,62246,73563,116467,5248,4385,74381,28158,192480,212524
NALGONDA ,451912,354179,106735,52216,154632,234989,11069,8564,179476,58410,366394,445931
NIRMAL ,193870,182890,63350,40148,57629,59575,8048,50387,64843,32780,152851,179807
NIZAMABAD ,418809,343757,93273,50817,123492,108449,17419,109293,184625,75198,349668,458788
PEDDAPALLI ,215842,129372,31676,14439,70874,89093,5337,2870,107955,22970,183483,266635
RAJANNA ,158110,140553,41714,25037,48216,53521,13647,33000,54533,28995,115999,137375
RANGAREDDY ,682907,346613,104719,61075,89795,124332,17347,12379,471046,148827,571277,845468
SANGAREDDY ,428642,259514,72728,36922,140391,158599,10504,6730,205019,57263,348593,490879
SIDDIPET ,275518,234045,96459,60008,71240,100425,8315,32205,99504,41407,228623,273879
SURYAPET ,308985,252543,65586,33187,133458,182380,5106,3347,104835,33629,241989,296043
VIKARABAD ,256459,213693,102176,63026,74032,117565,5996,4731,74255,28371,206891,250097
WANAPARTHY ,161465,134684,38709,22205,59846,84867,4257,4492,58653,23120,133368,148241
WARANGAL (R) ,198633,177979,62361,36519,77253,123468,4543,3069,54476,14923,161682,180243
WARANGAL (U),286678,152962,28701,15117,48959,71723,7909,8185,201109,57937,254623,386595
YADADRI ,206799,150554,43994,18595,53929,94406,9238,7498,99638,30055,167920,214175
